City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Manta,-0.95,-80.73,73.02,88,94,10.16,EC,1592459192
Bluff,-46.6,168.33,39.0,83,5,3.0,NZ,1592459093
Caucayá,-0.19,-74.78,71.37,97,88,0.72,CO,1592459193
Ushuaia,-54.8,-68.3,33.8,93,1,3.36,AR,1592458860
Obihiro,42.92,143.2,57.2,93,75,3.36,JP,1592459193
Plettenberg Bay,-34.05,23.37,59.09,52,0,9.46,ZA,1592459019
Hermanus,-34.42,19.23,48.0,80,0,1.01,ZA,1592459084
Atuona,-9.8,-139.03,80.55,75,70,13.76,PF,1592459093
Butaritari,3.07,172.79,83.43,67,25,8.9,KI,1592459083
Lebu,-37.62,-73.65,52.9,87,100,29.17,CL,1592459117
Mahébourg,-20.41,57.7,71.6,78,75,18.34,MU,1592459097
Mazamari,-11.33,-74.53,69.21,82,69,0.63,PE,1592459193
Busselton,-33.65,115.33,55.0,85,20,17.09,AU,1592459086
Nikolskoye,59.7,30.79,73.0,83,0,6.71,RU,1592459083
Narsaq,60.92,-46.05,37.4,86,88,4.7,GL,1592459125
Rikitea,-23.12,-134.97,75.81,84,46,15.61,PF,1592459083
Sobolevo,54.43,31.9,70.48,82,0,8.43,RU,1592459194
Lavrentiya,65.58,-171.0,50.72,64,60,3.65,RU,1592459126
Pesaro,43.9,12.89,69.01,61,0,1.99,IT,1592459194
Yulara,-25.24,130.99,71.6,15,0,9.17,AU,1592459194
Beringovskiy,63.05,179.32,51.03,57,24,3.69,RU,1592459122
Thompson,55.74,-97.86,39.2,93,90,14.99,CA,1592459097
Belmonte,-15.86,-38.88,66.2,93,40,6.93,BR,1592459086
Kruisfontein,-34.0,24.73,53.67,43,0,7.38,ZA,1592459115
Vaini,-21.2,-175.2,69.8,88,40,12.75,TO,1592459083
Constitución,-35.33,-72.42,53.6,86,99,16.37,CL,1592459125
Batagay-Alyta,67.8,130.41,76.01,27,79,12.03,RU,1592459119
Cape Town,-33.93,18.42,50.0,61,0,4.7,ZA,1592458961
Clyde River,70.47,-68.59,32.0,97,90,5.82,CA,1592459090
Bukama,-9.2,25.85,68.99,48,35,1.9,CD,1592459195
Shenjiamen,29.96,122.3,82.24,78,76,11.61,CN,1592459195
Faanui,-16.48,-151.75,81.43,77,99,0.67,PF,1592459101
Sioux Lookout,50.1,-91.92,77.0,61,40,16.11,CA,1592459195
Jamestown,42.1,-79.24,66.2,63,1,5.01,US,1592459083
Tiarei,-17.53,-149.33,78.8,88,75,6.93,PF,1592459196
Hobart,-42.88,147.33,50.0,66,75,1.12,AU,1592459041
Upernavik,72.79,-56.15,32.7,92,0,7.16,GL,1592459108
Yellowknife,62.46,-114.35,53.6,54,40,6.93,CA,1592459087
Tekeli,44.83,78.82,64.76,43,64,8.99,KZ,1592459196
Selma,36.57,-119.61,78.8,46,0,4.03,US,1592459043
Ribeira Grande,38.52,-28.7,62.91,74,94,4.32,PT,1592459084
George Town,5.41,100.34,87.8,66,20,6.93,MY,1592459088
Provideniya,64.38,-173.3,59.0,58,4,6.71,RU,1592459109
San Isidro,-12.12,-77.05,64.4,77,90,5.82,PE,1592459197
San Miguel de Tucumán,-26.82,-65.22,62.6,55,1,6.93,AR,1592458902
Vodnyy,63.5,53.41,50.34,47,16,6.31,RU,1592459197
East London,-33.02,27.91,57.2,54,13,10.29,ZA,1592459096
Bredasdorp,-34.53,20.04,39.2,93,3,5.95,ZA,1592459093
Puerto Ayora,-0.74,-90.35,68.0,93,46,7.81,EC,1592459084
Barrow,71.29,-156.79,42.8,75,1,11.41,US,1592459104
Bonthe,7.53,-12.51,77.95,86,71,5.41,SL,1592459095
Hasaki,35.73,140.83,77.0,78,75,8.05,JP,1592459096
Noumea,-22.28,166.46,73.4,78,90,13.87,NC,1592459078
Ponta do Sol,32.67,-17.1,68.0,72,20,8.05,PT,1592459096
Gilbués,-9.83,-45.34,67.35,62,44,7.74,BR,1592459197
Grenå,56.42,10.88,64.99,100,79,4.23,DK,1592459197
Katsuura,35.13,140.3,77.0,84,100,2.77,JP,1592459198
Viedma,-40.81,-63.0,46.2,82,9,7.72,AR,1592459198
Airai,-8.93,125.41,68.65,81,92,5.77,TL,1592459107
Mataura,-46.19,168.86,39.0,83,0,3.0,NZ,1592459084
Jodhpur,26.29,73.03,100.51,32,12,18.32,IN,1592459198
Makkah al Mukarramah,21.43,39.83,101.68,7,96,8.79,SA,1592459198
Albany,42.6,-73.97,69.01,96,63,1.97,US,1592459086
Cidreira,-30.18,-50.21,62.87,85,75,9.64,BR,1592459084
Bushehr,28.97,50.84,89.6,49,0,11.41,IR,1592459199
Port Elizabeth,-33.92,25.57,46.4,81,0,3.36,ZA,1592459110
Ilulissat,69.22,-51.1,33.8,86,4,3.36,GL,1592459086
Awjilah,29.11,21.29,73.47,49,0,0.92,LY,1592459199
Baharly,38.44,57.43,89.13,12,0,13.31,TM,1592459199
Cairns,-16.92,145.77,75.0,88,90,16.11,AU,1592459199
Touros,-5.2,-35.46,69.8,100,8,4.7,BR,1592459199
Jiuquan,39.74,98.52,91.92,11,87,12.15,CN,1592459199
Punta Arenas,-53.15,-70.92,30.2,92,0,4.7,CL,1592459087
Guerrero Negro,27.98,-114.06,62.55,87,0,13.96,MX,1592459109
Vila Velha,-20.33,-40.29,64.4,93,46,3.36,BR,1592459095
Fuzhou,26.06,119.31,89.6,62,96,20.13,CN,1592459199
Zyryanka,65.75,150.85,85.91,25,36,4.36,RU,1592459199
Acapulco de Juárez,16.86,-99.89,80.22,76,0,4.72,MX,1592459025
Nagykálló,47.87,21.84,66.2,88,75,4.7,HU,1592459199
Avera,33.19,-82.53,64.4,81,90,5.08,US,1592459112
Tiksi,71.69,128.87,58.3,49,95,4.74,RU,1592459089
Sitka,57.05,-135.33,53.6,87,90,4.94,US,1592459101
Mar del Plata,-38.0,-57.56,59.0,100,90,9.17,AR,1592459088
Havelock,34.88,-76.9,73.0,88,1,7.27,US,1592459200
Murgab,37.5,61.97,86.0,25,0,9.17,TM,1592459200
Panama City,8.99,-79.52,78.8,88,92,1.12,PA,1592458917
Pevek,69.7,170.31,42.98,65,97,11.43,RU,1592459088
Carnarvon,-24.87,113.63,73.4,64,51,14.99,AU,1592459096
Iqaluit,63.75,-68.51,37.4,74,90,6.93,CA,1592458918
Burnie,-41.07,145.92,54.0,73,98,5.99,AU,1592459200
Lata,40.16,-8.33,59.0,91,21,1.88,PT,1592459200
Geraldton,-28.77,114.6,66.2,55,40,14.99,AU,1592459112
Lagoa,39.05,-27.98,62.55,78,90,7.74,PT,1592459117
Norman Wells,65.28,-126.83,73.4,46,20,4.7,CA,1592458837
Villacarrillo,38.12,-3.08,59.94,54,0,1.01,ES,1592459201
Hithadhoo,-0.6,73.08,83.97,77,47,10.8,MV,1592459085
Qaanaaq,77.48,-69.36,28.08,95,57,1.16,GL,1592459093
Esperance,-33.87,121.9,59.0,58,40,21.92,AU,1592459095
Melilla,35.29,-2.94,73.4,46,64,2.24,ES,1592459201
Los Llanos de Aridane,28.66,-17.92,68.0,72,20,6.93,ES,1592459106
Sinfra,6.62,-5.92,69.8,100,90,3.18,CI,1592459201
Te Anau,-45.42,167.72,37.06,83,7,5.75,NZ,1592459105
Dikson,73.51,80.55,32.83,93,7,8.25,RU,1592459086
Kiunga,-6.12,141.29,85.14,72,47,2.44,PG,1592459202
Ancud,-41.87,-73.82,50.0,100,90,21.92,CL,1592459086
Port-Cartier,50.03,-66.87,66.2,77,75,3.36,CA,1592459202
Half Moon Bay,37.46,-122.43,71.01,87,90,3.36,US,1592459092
Talnakh,69.49,88.4,48.2,36,100,4.47,RU,1592459130
Tasiilaq,65.61,-37.64,39.2,80,100,25.28,GL,1592459088
Avarua,-21.21,-159.78,71.6,68,2,10.29,CK,1592459090
Pangnirtung,66.15,-65.71,32.27,94,25,0.96,CA,1592459102
Merauke,-8.47,140.33,83.7,72,50,15.5,ID,1592459202
Sinnamary,5.38,-52.95,77.05,87,100,5.75,GF,1592458817
Bethel,41.37,-73.41,64.4,93,90,6.93,US,1592459114
Lampazos de Naranjo,27.02,-100.52,80.78,70,99,14.16,MX,1592459202
Ostrovnoy,68.05,39.51,50.77,67,42,10.16,RU,1592459104
Kwinana,-32.25,115.77,64.0,63,75,14.99,AU,1592459203
Nha Trang,12.25,109.18,93.2,59,20,9.17,VN,1592459203
Kensington,-33.92,151.22,63.0,55,40,8.05,AU,1592459203
Hamilton,39.18,-84.53,68.0,82,1,2.53,US,1592459055
Castro,-24.79,-50.01,54.72,96,76,5.95,BR,1592459089
Celestún,20.87,-90.4,78.33,85,2,8.41,MX,1592459203
Kaeo,-35.1,173.78,55.0,3,9,5.99,NZ,1592459203
Port Blair,11.67,92.75,86.4,75,91,15.28,IN,1592459113
Vao,-22.67,167.48,72.12,81,93,13.62,NC,1592459125
Kavieng,-2.57,150.8,85.86,68,27,8.3,PG,1592459098
Paicol,2.45,-75.78,66.54,79,71,3.47,CO,1592459203
Lanzhou,36.06,103.79,78.8,15,20,6.71,CN,1592459104
Waingapu,-9.66,120.26,83.46,61,46,18.23,ID,1592459204
Hilo,19.73,-155.09,78.8,74,75,5.82,US,1592459084
Karratha,-20.74,116.85,81.75,35,0,8.39,AU,1592459087
Dingle,11.0,122.67,88.09,66,100,2.51,PH,1592459087
Puerto Suárez,-18.95,-57.8,72.1,63,56,5.19,BO,1592459204
Macas,-2.32,-78.12,64.0,80,42,3.04,EC,1592459204
Kindersley,51.47,-109.17,50.0,93,90,12.75,CA,1592459204
Uyuni,-20.46,-66.83,37.63,56,52,11.25,BO,1592459204
Mossamedes,-15.2,12.15,71.47,51,0,4.54,AO,1592459204
Shingū,33.73,135.98,64.4,100,75,2.24,JP,1592459090
Baraut,29.1,77.27,98.6,56,0,4.7,IN,1592459204
Pihānī,27.63,80.2,93.42,51,86,11.43,IN,1592459204
Yar-Sale,66.83,70.83,45.03,56,73,15.61,RU,1592459092
La Asuncion,11.03,-63.86,78.8,100,86,10.29,VE,1592459205
Kashgar,39.45,75.98,82.4,13,17,4.47,CN,1592459205
Verkhoyansk,67.54,133.38,82.51,24,34,10.92,RU,1592459205
Chokurdakh,70.63,147.92,88.65,19,7,11.61,RU,1592459100
Aykhal,66.0,111.5,69.8,32,40,4.47,RU,1592459205
Saskylakh,71.92,114.08,65.1,51,84,5.41,RU,1592459092
Flinders,-34.58,150.86,61.0,59,67,5.99,AU,1592459205
Tuatapere,-46.13,167.68,39.0,83,2,3.0,NZ,1592459101
Pisco,-13.7,-76.22,59.0,93,40,6.93,PE,1592459095
Nadym,65.53,72.52,47.19,53,40,13.98,RU,1592459112
Arlit,18.74,7.39,83.91,12,0,8.25,NE,1592458834
Vardø,70.37,31.11,55.4,76,2,8.05,NO,1592459090
Hammerfest,70.66,23.68,50.0,66,32,10.29,NO,1592459206
Port Alfred,-33.59,26.89,53.01,72,0,1.01,ZA,1592459083
Khovd,48.01,91.64,76.84,26,98,6.02,MN,1592459120
Oxford,51.75,-1.26,57.2,100,75,5.82,GB,1592458912
Taltal,-25.4,-70.48,59.52,58,8,4.14,CL,1592459122
San Luis,-33.3,-66.34,40.86,69,11,1.68,AR,1592459206
New Norfolk,-42.78,147.06,46.99,77,70,1.66,AU,1592459094
Haimen,23.19,116.61,89.6,66,40,8.95,CN,1592459206
Tuy Hoa,13.08,109.3,92.91,51,1,5.59,VN,1592459116
Pajapan,18.25,-94.7,76.19,88,15,3.76,MX,1592459206
Neiafu,-18.65,-173.98,75.2,78,40,10.29,TO,1592459123
Kaitangata,-46.28,169.85,43.0,59,45,3.0,NZ,1592459096
Tagusao,9.19,117.81,88.16,62,26,2.51,PH,1592459122
Kapaa,22.08,-159.32,78.8,78,75,13.87,US,1592459101
Cabo San Lucas,22.89,-109.91,84.99,40,71,13.98,MX,1592459116
Chimbote,-9.09,-78.58,63.52,84,79,6.35,PE,1592459207
Thinadhoo,0.53,72.93,84.42,72,34,6.13,MV,1592459116
Hidrolândia,-4.41,-40.44,72.64,83,33,2.33,BR,1592459107
São Filipe,14.9,-24.5,77.23,71,2,6.76,CV,1592459106
Alyangula,-13.85,136.42,84.2,58,40,11.41,AU,1592459207
La Ronge,55.1,-105.28,50.0,66,75,11.41,CA,1592459207
Vila Franca do Campo,37.72,-25.43,62.6,77,75,4.7,PT,1592459121
Parakai,-36.65,174.43,57.99,98,35,2.89,NZ,1592459207
Terrace Bay,48.78,-87.1,49.37,87,0,2.93,CA,1592459207
Yacuiba,-22.04,-63.68,63.1,79,82,3.53,BO,1592459207
Grindavik,63.84,-22.43,48.2,70,75,17.22,IS,1592459111
Tshikapa,-6.42,20.8,66.29,44,12,4.7,CD,1592459208
Nemuro,43.32,145.57,57.2,93,75,6.93,JP,1592459118
Nanortalik,60.14,-45.24,37.18,86,33,7.52,GL,1592459099
Lashio,22.93,97.75,75.43,86,100,2.37,MM,1592459208
Mackay,-21.15,149.2,71.6,78,75,19.46,AU,1592459098
Limenaria,40.63,24.58,71.01,82,20,4.7,GR,1592459208
Abu Dhabi,24.47,54.37,95.0,53,1,13.87,AE,1592458896
Lucapa,-8.42,20.74,58.87,51,2,5.64,AO,1592459208
Ust'-Koksa,50.27,85.61,64.24,53,69,1.63,RU,1592459208
Atakent,40.85,68.51,83.62,19,28,7.74,KZ,1592459208
Samagaltay,50.6,95.0,77.95,29,90,4.81,RU,1592459209
João Pinheiro,-17.74,-46.17,58.78,81,19,8.84,BR,1592459209
Malbork,54.04,19.03,64.0,93,40,6.93,PL,1592459209
Marshall,34.38,-86.33,63.0,87,1,2.71,US,1592459209
Chui,-33.7,-53.46,68.67,76,100,18.1,UY,1592459087
Arraial do Cabo,-22.97,-42.03,69.15,80,0,17.81,BR,1592459088
Birkeland,58.33,8.23,66.0,93,37,4.7,NO,1592459209
Bungu,-7.63,39.06,74.84,66,23,7.56,TZ,1592459209
Kahului,20.89,-156.47,80.6,61,40,16.11,US,1592459093
Beyla,8.68,-8.63,68.99,97,92,3.11,GN,1592459209
Cham,47.18,8.46,55.99,93,0,0.92,CH,1592459209
Longyearbyen,78.22,15.64,39.2,80,75,5.82,SJ,1592458929
San Patricio,19.22,-104.7,79.68,64,17,2.93,MX,1592459126
Stornoway,58.21,-6.39,55.0,100,64,3.36,GB,1592459089
Roebourne,-20.78,117.13,81.45,35,0,6.91,AU,1592459210
Hong Kong,22.29,114.16,90.0,71,21,7.0,HK,1592459100
Honningsvåg,70.98,25.97,51.8,53,67,10.29,NO,1592459210
Pingliang,35.54,106.69,84.69,22,0,10.0,CN,1592459210
Dakar,14.69,-17.44,80.6,83,40,4.7,SN,1592459210
Puerto Quijarro,-17.78,-57.77,70.52,65,15,4.65,BO,1592459210
Taclobo,12.31,122.59,85.57,66,100,1.7,PH,1592459210
Batagay,67.63,134.63,83.41,22,26,8.1,RU,1592459210
Zhengjiatun,43.51,123.51,82.0,34,100,12.57,CN,1592459210
Harper,4.38,-7.72,76.93,85,100,9.1,LR,1592459095
Severo-Kuril'sk,50.68,156.12,45.59,84,68,4.97,RU,1592459103
Bukachacha,52.98,116.92,74.59,28,12,7.02,RU,1592459210
Saint George,37.1,-113.58,78.8,14,1,23.04,US,1592458944
Dire Dawa,9.59,41.87,77.32,51,82,16.82,ET,1592459211
Khuzhir,53.19,107.34,51.49,62,4,8.3,RU,1592459211
Lorengau,-2.02,147.27,85.51,72,9,10.56,PG,1592459112
Puerto Ayacucho,5.66,-67.62,74.62,93,100,4.27,VE,1592459211
Sibolga,1.74,98.78,79.75,76,96,5.88,ID,1592459123
Bathsheba,13.22,-59.52,80.6,78,20,11.41,BB,1592459113
Timiryazevskiy,56.49,84.88,64.4,63,20,4.56,RU,1592459211
Itoman,26.12,127.67,87.8,79,75,12.75,JP,1592458850
Souillac,-20.52,57.52,71.6,78,75,18.34,MU,1592459110
Dwārka,22.24,68.97,88.81,68,37,9.44,IN,1592458879
Mbandaka,0.05,18.26,71.26,67,84,0.54,CD,1592459212
Saint-Louis,16.33,-15.0,83.97,42,0,10.58,SN,1592459212
São João da Barra,-21.64,-41.05,67.86,75,14,5.28,BR,1592458810
Basoko,1.24,23.62,76.26,79,79,0.51,CD,1592459212
Krutaya Gorka,55.36,73.22,55.4,71,75,15.66,RU,1592459212
Joshīmath,30.57,79.57,79.29,29,6,8.01,IN,1592459212
Zapolyarnyy,69.42,30.81,51.8,66,38,4.7,RU,1592459212
Dawlatabad,36.41,64.91,88.29,12,0,8.48,AF,1592459212
Saint-Philippe,-21.36,55.77,70.0,77,93,24.16,RE,1592459093
Marabu,4.41,114.01,87.8,70,75,11.41,MY,1592459212
Farmington,36.73,-108.22,71.6,12,1,9.17,US,1592459212
Gornopravdinsk,60.05,69.9,55.2,42,55,9.78,RU,1592459213
Quechultenango,17.42,-99.22,71.31,84,16,2.57,MX,1592459213
Skjervøy,70.03,20.97,51.8,76,40,2.24,NO,1592459213
Bumbuna,9.05,-11.73,71.22,96,92,3.94,SL,1592459213
Pelotas,-31.77,-52.34,62.01,91,88,9.1,BR,1592459213
San Ramon,37.78,-121.98,72.0,28,1,4.21,US,1592459100
Mulegé,26.88,-111.98,82.71,37,2,2.35,MX,1592459103
Takoradze,4.88,-1.76,76.64,87,87,11.43,GH,1592459213
Mount Gambier,-37.83,140.77,59.0,62,40,17.22,AU,1592459109
Donceel,50.65,5.32,60.01,93,20,9.17,BE,1592459213
Bandarbeyla,9.49,50.81,87.51,49,94,32.26,SO,1592459213
Nishihara,26.18,127.76,87.8,74,75,19.46,JP,1592459214
Laja,-37.27,-72.7,55.4,93,100,23.04,CL,1592459214
Sandnessjøen,66.02,12.63,60.01,72,55,11.41,NO,1592459005
Alta,69.97,23.27,55.4,62,16,4.7,NO,1592459214
Cairo,30.06,31.25,73.4,69,40,10.29,EG,1592458716
Bang Saphan,11.21,99.51,89.6,70,20,6.93,TH,1592459214
Namatanai,-3.67,152.43,83.98,72,11,8.68,PG,1592459214
Tuktoyaktuk,69.45,-133.04,48.2,93,40,8.05,CA,1592459101
Rhodes,36.44,28.22,73.99,88,20,11.41,GR,1592459214
Sept-Îles,50.2,-66.38,66.2,77,75,3.36,CA,1592458922
Kumul,42.8,93.45,97.5,9,64,7.58,CN,1592459214
Bengkulu,-3.8,102.27,84.74,67,41,7.14,ID,1592459097
Menongue,-14.66,17.69,46.92,73,0,6.35,AO,1592459130
Bubaque,11.28,-15.83,80.53,85,78,11.52,GW,1592459215
Diffa,13.32,12.61,83.59,52,83,10.27,NE,1592459215
Umaria,23.53,80.83,93.4,49,64,15.9,IN,1592459215
Ciudad Bolivar,8.12,-63.55,78.78,80,97,10.09,VE,1592459215
Yilan,24.76,121.75,96.8,53,75,11.41,TW,1592459003
Yarmouth,41.71,-70.23,62.6,93,40,3.36,US,1592458968
Thunder Bay,48.4,-89.32,55.99,93,5,6.93,CA,1592458951
Jalu,29.03,21.55,74.03,46,0,0.81,LY,1592459215
Yamada,39.47,141.95,72.32,60,4,9.8,JP,1592459215
Anloga,5.79,0.9,78.8,88,75,10.29,GH,1592459215
Arona,28.1,-16.68,71.6,83,40,8.05,ES,1592459216
Comodoro Rivadavia,-45.87,-67.5,46.4,70,36,3.36,AR,1592459101
Huron,41.15,-82.55,64.0,77,99,4.03,US,1592459216
